iter	Passed	Remaining
881	8056	1077
882	8065	1068
883	8075	1059
884	8085	1050
885	8095	1041
886	8106	1032
887	8114	1023
888	8123	1014
889	8132	1005
890	8141	995
891	8150	986
892	8160	977
893	8169	968
894	8177	959
895	8188	950
896	8196	941
897	8206	932
898	8216	923
899	8224	913
900	8233	904
901	8243	895
902	8252	886
903	8268	878
904	8291	870
905	8314	862
906	8337	854
907	8363	847
908	8385	839
909	8405	831
910	8448	825
911	8469	817
912	8497	809
913	8521	801
914	8545	793
915	8568	785
916	8596	778
917	8620	769
918	8647	762
919	8670	753
920	8701	746
921	8733	738
922	8778	732
923	9001	740
924	9022	731
925	9040	722
926	9150	720
927	9173	711
928	9192	702
929	9212	693
930	9230	684
931	9350	682
932	9371	672
933	9492	670
934	9514	661
935	9629	658
936	9658	649
937	9678	639
938	9805	637
939	9824	627
940	9955	624
941	9976	614
942	10132	612
943	10152	602
944	10267	597
945	10391	593
946	10414	582
947	10539	578
948	10566	567
949	10597	557
950	10623	547
951	10651	537
952	10679	526
953	10702	516
954	10726	505
955	10766	495
956	10796	485
957	10917	478
958	10952	468
959	10974	457
960	10992	446
961	11112	438
962	11135	427
963	11156	416
964	11175	405
965	11299	397
966	11323	386
967	11341	374
968	11467	366
969	11492	355
970	11512	343
971	11531	332
972	11660	323
973	11683	311
974	11700	300
975	11817	290
976	11847	278
977	11868	266
978	11889	255
979	11913	243
980	12031	233
981	12052	220
982	12071	208
983	12090	196
984	12212	185
985	12235	173
986	12255	161
987	12273	149
988	12381	137
989	12409	125
990	12426	112
991	12444	100
992	12580	88
993	12601	76
994	12619	63
995	12643	50
996	12751	38
997	12771	25
998	12790	12
999	12806	0
